id	swave	emp	tage	initage	nvals
27	0	0	38	38	1
27	1	1	38	38	0
27	2	1	38	38	0
27	3	1	39	38	0
27	4	1	39	38	0
27	5	1	39	38	0
27	6	1	40	38	0
51	0	1	38	38	1
51	1	1	38	38	0
51	2	1	39	38	0
51	3	1	39	38	0
51	4	1	39	38	0
51	5	1	40	38	0
51	6	1	40	38	0
121	0	1	32	32	1
121	1	1	33	32	0
121	2	1	33	32	0
121	3	1	33	32	0
121	4	1	34	32	0
121	5	1	34	32	0
121	6	1	34	32	0
127	0	1	39	39	1
127	1	1	39	39	0
127	2	1	40	39	0
127	3	1	40	39	0
127	4	1	40	39	0
127	5	1	41	39	0
127	6	1	41	39	0
203	0	1	31	31	1
203	1	1	31	31	0
203	2	1	32	31	0
203	3	1	32	31	0
203	4	1	32	31	0
203	5	1	33	31	0
203	6	1	33	31	0
227	0	1	26	26	1
227	1	1	27	26	0
227	2	1	27	26	0
227	3	1	27	26	0
227	4	1	28	26	0
227	5	1	28	26	0
227	6	1	28	26	0
252	0	1	39	39	1
252	1	1	39	39	0
252	2	1	40	39	0
252	3	1	40	39	0
252	4	1	40	39	0
252	5	1	41	39	0
252	6	1	41	39	0
254	0	0	38	38	1
254	1	0	39	38	0
254	2	1	39	38	0
254	3	1	39	38	0
254	4	1	40	38	0
254	5	1	40	38	0
254	6	1	40	38	0
280	0	1	38	37	1
280	1	1	37	37	0
280	2	1	38	37	0
280	3	1	39	37	0
280	4	1	39	37	0
280	5	1	39	37	0
280	6	1	40	37	0
311	0	1	34	34	1
311	1	1	34	34	0
311	2	1	34	34	0
311	3	1	35	34	0
311	4	1	35	34	0
311	5	1	35	34	0
311	6	1	36	34	0
341	0	1	36	36	1
341	1	1	37	36	0
341	2	1	37	36	0
341	3	1	37	36	0
341	4	1	38	36	0
341	5	1	38	36	0
341	6	1	38	36	0
451	0	1	37	37	1
451	1	1	37	37	0
451	2	1	38	37	0
451	3	1	38	37	0
451	4	1	38	37	0
451	5	1	39	37	0
451	6	1	39	37	0
573	0	1	25	25	1
573	1	1	26	25	0
573	2	1	26	25	0
573	3	1	26	25	0
573	4	1	27	25	0
573	5	0	27	25	0
573	6	1	27	25	0
816	0	1	20	20	1
816	1	1	20	20	0
816	2	1	21	20	0
816	3	1	21	20	0
816	4	1	21	20	0
816	5	1	22	20	0
816	6	1	22	20	0
879	0	1	30	30	1
879	1	1	30	30	0
879	2	0	30	30	0
879	3	0	31	30	0
879	4	0	31	30	0
879	5	1	31	30	0
879	6	1	32	30	0
944	0	1	30	30	1
944	1	1	30	30	0
944	2	1	30	30	0
944	3	1	31	30	0
944	4	1	31	30	0
944	5	1	31	30	0
944	6	1	32	30	0
947	0	1	31	31	1
947	1	1	31	31	0
947	2	1	31	31	0
947	3	1	32	31	0
947	4	1	32	31	0
947	5	1	32	31	0
947	6	1	33	31	0
948	0	1	28	28	1
948	1	1	28	28	0
948	2	1	29	28	0
948	3	1	29	28	0
948	4	1	29	28	0
948	5	1	30	28	0
948	6	1	30	28	0
1249	0	1	35	35	1
1249	1	1	36	35	0
1249	2	1	36	35	0
1249	3	1	36	35	0
1249	4	1	37	35	0
1249	5	1	37	35	0
1249	6	1	37	35	0
1406	0	1	20	20	1
1406	1	1	20	20	0
1406	2	1	21	20	0
1406	3	1	21	20	0
1406	4	1	21	20	0
1406	5	1	22	20	0
1406	6	1	22	20	0
1540	0	1	35	35	1
1540	1	1	35	35	0
1540	2	1	36	35	0
1540	3	1	36	35	0
1540	4	1	36	35	0
1540	5	1	37	35	0
1540	6	1	37	35	0
1759	0	1	33	33	1
1759	1	1	33	33	0
1759	2	1	33	33	0
1759	3	1	34	33	0
1759	4	0	34	33	0
1759	5	1	34	33	0
1759	6	1	35	33	0
1771	0	1	30	30	1
1771	1	1	31	30	0
1771	2	1	31	30	0
1771	3	1	31	30	0
1771	4	1	32	30	0
1771	5	1	32	30	0
1771	6	1	32	30	0
1853	0	1	28	28	1
1853	1	1	29	28	0
1853	2	1	29	28	0
1853	3	1	29	28	0
1853	4	1	30	28	0
1853	5	1	30	28	0
1853	6	1	30	28	0
1871	0	1	35	35	1
1871	1	1	36	35	0
1871	2	1	36	35	0
1871	3	1	36	35	0
1871	4	1	37	35	0
1871	5	1	37	35	0
1871	6	1	37	35	0
1919	0	1	36	36	1
1919	1	1	36	36	0
1919	2	1	36	36	0
1919	3	1	37	36	0
1919	4	1	37	36	0
1919	5	1	37	36	0
1919	6	1	38	36	0
1933	0	1	38	38	1
1933	1	1	38	38	0
1933	2	1	39	38	0
1933	3	1	39	38	0
1933	4	1	39	38	0
1933	5	1	40	38	0
1933	6	1	40	38	0
2025	0	1	33	33	1
2025	1	1	33	33	0
2025	2	1	33	33	0
2025	3	1	34	33	0
2025	4	0	34	33	0
2025	5	0	34	33	0
2025	6	0	35	33	0
2028	0	1	30	30	1
2028	1	0	31	30	0
2028	2	1	31	30	0
2028	3	1	31	30	0
2028	4	0	32	30	0
2028	5	0	32	30	0
2028	6	0	32	30	0
2090	0	1	38	38	1
2090	1	1	38	38	0
2090	2	1	39	38	0
2090	3	1	39	38	0
2090	4	1	39	38	0
2090	5	1	40	38	0
2090	6	1	40	38	0
2096	0	1	30	30	1
2096	1	1	30	30	0
2096	2	1	31	30	0
2096	3	1	31	30	0
2096	4	1	31	30	0
2096	5	1	32	30	0
2096	6	1	32	30	0
2141	0	1	21	21	1
2141	1	1	21	21	0
2141	2	1	22	21	0
2141	3	1	22	21	0
2141	4	1	22	21	0
2141	5	0	23	21	0
2141	6	1	23	21	0
2152	0	1	22	22	1
2152	1	1	22	22	0
2152	2	1	23	22	0
2152	3	1	23	22	0
2152	4	1	23	22	0
2152	5	1	24	22	0
2152	6	1	24	22	0
2274	0	1	33	33	1
2274	1	1	33	33	0
2274	2	1	33	33	0
2274	3	1	34	33	0
2274	4	1	34	33	0
2274	5	1	34	33	0
2274	6	1	35	33	0
2308	0	1	40	40	1
2308	1	1	40	40	0
2308	2	1	41	40	0
2308	3	1	41	40	0
2308	4	1	41	40	0
2308	5	1	42	40	0
2308	6	1	42	40	0
2424	0	1	35	35	1
2424	1	1	35	35	0
2424	2	1	35	35	0
2424	3	1	36	35	0
2424	4	1	36	35	0
2424	5	1	36	35	0
2424	6	1	37	35	0
2432	0	1	37	37	1
2432	1	1	38	37	0
2432	2	1	38	37	0
2432	3	1	38	37	0
2432	4	1	39	37	0
2432	5	1	39	37	0
2432	6	1	39	37	0
2455	0	1	36	36	1
2455	1	1	37	36	0
2455	2	1	37	36	0
2455	3	1	37	36	0
2455	4	1	38	36	0
2455	5	1	38	36	0
2455	6	1	38	36	0
2504	0	0	26	26	1
2504	1	1	27	26	0
2504	2	1	27	26	0
2504	3	1	27	26	0
2504	4	1	28	26	0
2504	5	1	28	26	0
2504	6	1	28	26	0
2511	0	1	33	33	1
2511	1	1	33	33	0
2511	2	0	34	33	0
2511	3	0	34	33	0
2511	4	1	34	33	0
2511	5	1	35	33	0
2511	6	1	35	33	0
2518	0	1	27	27	1
2518	1	1	28	27	0
2518	2	1	28	27	0
2518	3	0	28	27	0
2518	4	1	29	27	0
2518	5	1	29	27	0
2518	6	1	29	27	0
2546	0	1	38	38	1
2546	1	1	38	38	0
2546	2	1	38	38	0
2546	3	1	39	38	0
2546	4	1	39	38	0
2546	5	1	39	38	0
2546	6	1	40	38	0
2599	0	1	25	25	1
2599	1	1	26	25	0
2599	2	1	26	25	0
2599	3	1	26	25	0
2599	4	1	27	25	0
2599	5	1	27	25	0
2599	6	1	27	25	0
2610	0	1	28	28	1
2610	1	1	28	28	0
2610	2	1	28	28	0
2610	3	1	29	28	0
2610	4	1	29	28	0
2610	5	1	29	28	0
2610	6	1	30	28	0
2612	0	1	36	36	1
2612	1	1	36	36	0
2612	2	1	36	36	0
2612	3	1	37	36	0
2612	4	1	37	36	0
2612	5	1	37	36	0
2612	6	1	38	36	0
2628	0	1	28	28	1
2628	1	0	28	28	0
2628	2	0	29	28	0
2628	3	1	29	28	0
2628	4	1	29	28	0
2628	5	1	30	28	0
2628	6	1	30	28	0
2629	0	1	39	39	1
2629	1	1	40	39	0
2629	2	1	40	39	0
2629	3	1	40	39	0
2629	4	1	41	39	0
2629	5	1	41	39	0
2629	6	1	41	39	0
2632	0	1	29	29	1
2632	1	1	29	29	0
2632	2	1	29	29	0
2632	3	1	30	29	0
2632	4	1	30	29	0
2632	5	1	30	29	0
2632	6	1	31	29	0
2653	0	1	29	29	1
2653	1	1	29	29	0
2653	2	1	30	29	0
2653	3	1	30	29	0
2653	4	1	30	29	0
2653	5	1	31	29	0
2653	6	1	31	29	0
2668	0	1	29	29	1
2668	1	1	29	29	0
2668	2	1	30	29	0
2668	3	1	30	29	0
2668	4	1	30	29	0
2668	5	1	31	29	0
2668	6	1	31	29	0
2670	0	1	32	32	1
2670	1	0	32	32	0
2670	2	0	33	32	0
2670	3	1	33	32	0
2670	4	1	33	32	0
2670	5	1	34	32	0
2670	6	1	34	32	0
2686	0	1	38	38	1
2686	1	1	39	38	0
2686	2	1	39	38	0
2686	3	1	39	38	0
2686	4	1	40	38	0
2686	5	1	40	38	0
2686	6	1	40	38	0
2755	0	1	37	37	1
2755	1	1	37	37	0
2755	2	1	38	37	0
2755	3	1	38	37	0
2755	4	1	38	37	0
2755	5	1	39	37	0
2755	6	1	39	37	0
2770	0	1	27	27	1
2770	1	1	28	27	0
2770	2	0	28	27	0
2770	3	0	28	27	0
2770	4	0	29	27	0
2770	5	1	29	27	0
2770	6	1	29	27	0
2778	0	1	30	30	1
2778	1	1	31	30	0
2778	2	1	31	30	0
2778	3	0	31	30	0
2778	4	1	32	30	0
2778	5	1	32	30	0
2778	6	1	32	30	0
2812	0	1	23	23	1
2812	1	1	23	23	0
2812	2	1	24	23	0
2812	3	1	24	23	0
2812	4	1	24	23	0
2812	5	1	25	23	0
2812	6	1	25	23	0
2853	0	1	37	37	1
2853	1	1	38	37	0
2853	2	1	38	37	0
2853	3	1	38	37	0
2853	4	1	39	37	0
2853	5	1	39	37	0
2853	6	1	39	37	0
2859	0	1	29	29	1
2859	1	1	29	29	0
2859	2	1	30	29	0
2859	3	1	30	29	0
2859	4	1	30	29	0
2859	5	1	31	29	0
2859	6	1	31	29	0
2894	0	1	36	36	1
2894	1	1	37	36	0
2894	2	1	37	36	0
2894	3	1	37	36	0
2894	4	1	38	36	0
2894	5	1	38	36	0
2894	6	1	38	36	0
2895	0	1	33	33	1
2895	1	1	34	33	0
2895	2	1	34	33	0
2895	3	1	34	33	0
2895	4	1	35	33	0
2895	5	1	35	33	0
2895	6	1	35	33	0
2914	0	1	28	28	1
2914	1	1	28	28	0
