id	swave	emp	tage	initage	nvals
27	0	0	38	38	1
27	1	1	38	38	0
27	2	1	38	38	0
27	3	1	39	38	0
27	4	1	39	38	0
27	5	1	39	38	0
27	6	1	40	38	0
51	0	1	38	38	1
51	1	1	38	38	0
51	2	1	39	38	0
51	3	1	39	38	0
51	4	1	39	38	0
51	5	1	40	38	0
51	6	1	40	38	0
108	0	1	55	55	1
108	1	1	55	55	0
108	2	1	56	55	0
108	3	1	56	55	0
108	4	1	56	55	0
108	5	1	57	55	0
108	6	1	57	55	0
109	0	1	48	48	1
109	1	1	49	48	0
109	2	1	49	48	0
109	3	1	49	48	0
109	4	1	50	48	0
109	5	1	50	48	0
109	6	1	50	48	0
111	0	1	51	51	1
111	1	1	52	51	0
111	2	1	52	51	0
111	3	1	52	51	0
111	4	1	53	51	0
111	5	1	53	51	0
111	6	1	53	51	0
121	0	1	32	32	1
121	1	1	33	32	0
121	2	1	33	32	0
121	3	1	33	32	0
121	4	1	34	32	0
121	5	1	34	32	0
121	6	1	34	32	0
127	0	1	39	39	1
127	1	1	39	39	0
127	2	1	40	39	0
127	3	1	40	39	0
127	4	1	40	39	0
127	5	1	41	39	0
127	6	1	41	39	0
146	0	1	47	47	1
146	1	1	47	47	0
146	2	1	48	47	0
146	3	1	48	47	0
146	4	1	48	47	0
146	5	1	49	47	0
146	6	1	49	47	0
203	0	1	31	31	1
203	1	1	31	31	0
203	2	1	32	31	0
203	3	1	32	31	0
203	4	1	32	31	0
203	5	1	33	31	0
203	6	1	33	31	0
205	0	1	52	52	1
205	1	1	52	52	0
205	2	1	52	52	0
205	3	0	53	52	0
205	4	1	53	52	0
205	5	1	53	52	0
205	6	0	54	52	0
227	0	1	26	26	1
227	1	1	27	26	0
227	2	1	27	26	0
227	3	1	27	26	0
227	4	1	28	26	0
227	5	1	28	26	0
227	6	1	28	26	0
250	0	1	44	44	1
250	1	1	44	44	0
250	2	1	44	44	0
250	3	1	45	44	0
250	4	1	45	44	0
250	5	1	45	44	0
250	6	1	46	44	0
252	0	1	39	39	1
252	1	1	39	39	0
252	2	1	40	39	0
252	3	1	40	39	0
252	4	1	40	39	0
252	5	1	41	39	0
252	6	1	41	39	0
254	0	0	38	38	1
254	1	0	39	38	0
254	2	1	39	38	0
254	3	1	39	38	0
254	4	1	40	38	0
254	5	1	40	38	0
254	6	1	40	38	0
261	0	1	49	49	1
261	1	1	49	49	0
261	2	1	50	49	0
261	3	1	50	49	0
261	4	1	50	49	0
261	5	1	51	49	0
261	6	1	51	49	0
273	0	1	46	46	1
273	1	1	47	46	0
273	2	1	47	46	0
273	3	1	47	46	0
273	4	1	48	46	0
273	5	1	48	46	0
273	6	1	48	46	0
280	0	1	38	37	1
280	1	1	37	37	0
280	2	1	38	37	0
280	3	1	39	37	0
280	4	1	39	37	0
280	5	1	39	37	0
280	6	1	40	37	0
283	0	1	47	47	1
283	1	1	48	47	0
283	2	1	48	47	0
283	3	1	48	47	0
283	4	1	49	47	0
283	5	1	49	47	0
283	6	1	49	47	0
304	0	1	43	43	1
304	1	1	44	43	0
304	2	1	44	43	0
304	3	1	44	43	0
304	4	1	45	43	0
304	5	1	45	43	0
304	6	1	45	43	0
311	0	1	34	34	1
311	1	1	34	34	0
311	2	1	34	34	0
311	3	1	35	34	0
311	4	1	35	34	0
311	5	1	35	34	0
311	6	1	36	34	0
338	0	1	44	44	1
338	1	1	44	44	0
338	2	1	45	44	0
338	3	1	45	44	0
338	4	1	45	44	0
338	5	1	46	44	0
338	6	1	46	44	0
341	0	1	36	36	1
341	1	1	37	36	0
341	2	1	37	36	0
341	3	1	37	36	0
341	4	1	38	36	0
341	5	1	38	36	0
341	6	1	38	36	0
345	0	1	51	51	1
345	1	1	52	51	0
345	2	1	52	51	0
345	3	1	52	51	0
345	4	1	53	51	0
345	5	1	53	51	0
345	6	1	53	51	0
387	0	1	50	50	1
387	1	1	50	50	0
387	2	1	51	50	0
387	3	1	51	50	0
387	4	1	51	50	0
387	5	1	52	50	0
387	6	1	52	50	0
418	0	1	47	47	1
418	1	1	47	47	0
418	2	1	48	47	0
418	3	1	48	47	0
418	4	1	48	47	0
418	5	1	49	47	0
418	6	1	49	47	0
451	0	1	37	37	1
451	1	1	37	37	0
451	2	1	38	37	0
451	3	1	38	37	0
451	4	1	38	37	0
451	5	1	39	37	0
451	6	1	39	37	0
477	0	1	46	46	1
477	1	1	46	46	0
477	2	1	46	46	0
477	3	1	47	46	0
477	4	1	47	46	0
477	5	1	47	46	0
477	6	1	48	46	0
499	0	1	55	55	1
499	1	1	55	55	0
499	2	1	56	55	0
499	3	1	56	55	0
499	4	1	56	55	0
499	5	1	57	55	0
499	6	1	57	55	0
535	0	0	51	51	1
535	1	0	51	51	0
535	2	1	52	51	0
535	3	1	52	51	0
535	4	1	52	51	0
535	5	1	53	51	0
535	6	1	53	51	0
554	0	1	41	41	1
554	1	1	41	41	0
554	2	1	41	41	0
554	3	1	42	41	0
554	4	1	42	41	0
554	5	1	42	41	0
554	6	1	43	41	0
573	0	1	25	25	1
573	1	1	26	25	0
573	2	1	26	25	0
573	3	1	26	25	0
573	4	1	27	25	0
573	5	0	27	25	0
573	6	1	27	25	0
611	0	1	43	43	1
611	1	1	44	43	0
611	2	1	44	43	0
611	3	1	44	43	0
611	4	1	45	43	0
611	5	1	45	43	0
611	6	1	45	43	0
652	0	1	53	53	1
652	1	1	53	53	0
652	2	1	54	53	0
652	3	1	54	53	0
652	4	1	54	53	0
652	5	1	55	53	0
652	6	1	55	53	0
678	0	0	45	45	1
678	1	0	45	45	0
678	2	0	45	45	0
678	3	0	46	45	0
678	4	0	46	45	0
678	5	1	46	45	0
678	6	1	47	45	0
690	0	1	44	44	1
690	1	1	45	44	0
690	2	1	45	44	0
690	3	1	45	44	0
690	4	1	46	44	0
690	5	1	46	44	0
690	6	1	46	44	0
785	0	1	41	41	1
785	1	1	42	41	0
785	2	1	42	41	0
785	3	1	42	41	0
785	4	1	43	41	0
785	5	1	43	41	0
785	6	1	43	41	0
816	0	1	20	20	1
816	1	1	20	20	0
816	2	1	21	20	0
816	3	1	21	20	0
816	4	1	21	20	0
816	5	1	22	20	0
816	6	1	22	20	0
879	0	1	30	30	1
879	1	1	30	30	0
879	2	0	30	30	0
879	3	0	31	30	0
879	4	0	31	30	0
879	5	1	31	30	0
879	6	1	32	30	0
904	0	1	54	54	1
904	1	1	54	54	0
904	2	1	54	54	0
904	3	1	55	54	0
904	4	1	55	54	0
904	5	1	55	54	0
904	6	1	56	54	0
911	0	1	49	49	1
911	1	1	50	49	0
911	2	1	50	49	0
911	3	1	50	49	0
911	4	1	51	49	0
911	5	1	51	49	0
911	6	1	51	49	0
926	0	1	47	47	1
926	1	1	48	47	0
926	2	1	48	47	0
926	3	1	48	47	0
926	4	1	49	47	0
926	5	1	49	47	0
926	6	1	49	47	0
930	0	1	54	54	1
930	1	1	55	54	0
930	2	1	55	54	0
930	3	1	55	54	0
930	4	1	56	54	0
930	5	1	56	54	0
930	6	1	56	54	0
944	0	1	30	30	1
944	1	1	30	30	0
944	2	1	30	30	0
944	3	1	31	30	0
944	4	1	31	30	0
944	5	1	31	30	0
944	6	1	32	30	0
947	0	1	31	31	1
947	1	1	31	31	0
947	2	1	31	31	0
947	3	1	32	31	0
947	4	1	32	31	0
947	5	1	32	31	0
947	6	1	33	31	0
948	0	1	28	28	1
948	1	1	28	28	0
948	2	1	29	28	0
948	3	1	29	28	0
948	4	1	29	28	0
948	5	1	30	28	0
948	6	1	30	28	0
954	0	1	48	48	1
954	1	1	48	48	0
954	2	1	48	48	0
954	3	1	49	48	0
954	4	1	49	48	0
954	5	1	49	48	0
954	6	1	50	48	0
956	0	1	48	48	1
956	1	1	49	48	0
956	2	1	49	48	0
956	3	1	49	48	0
956	4	1	50	48	0
956	5	1	50	48	0
956	6	1	50	48	0
962	0	1	51	51	1
962	1	1	51	51	0
962	2	1	52	51	0
962	3	1	52	51	0
962	4	1	52	51	0
962	5	1	53	51	0
962	6	1	53	51	0
978	0	1	43	43	1
978	1	1	43	43	0
978	2	1	43	43	0
978	3	0	44	43	0
978	4	0	44	43	0
978	5	0	44	43	0
978	6	0	45	43	0
1032	0	0	47	47	1
1032	1	0	47	47	0
1032	2	1	47	47	0
1032	3	1	48	47	0
1032	4	1	48	47	0
1032	5	1	48	47	0
1032	6	1	49	47	0
1068	0	1	50	50	1
1068	1	1	50	50	0
1068	2	1	50	50	0
1068	3	1	51	50	0
1068	4	1	51	50	0
1068	5	1	51	50	0
1068	6	1	52	50	0
1080	0	1	42	42	1
1080	1	1	43	42	0
1080	2	1	43	42	0
1080	3	1	43	42	0
1080	4	1	44	42	0
1080	5	1	44	42	0
1080	6	1	44	42	0
1100	0	1	41	41	1
1100	1	1	41	41	0
1100	2	1	42	41	0
1100	3	0	42	41	0
1100	4	1	42	41	0
1100	5	1	43	41	0
1100	6	1	43	41	0
1195	0	1	47	47	1
1195	1	1	48	47	0
1195	2	1	48	47	0
1195	3	1	48	47	0
1195	4	1	49	47	0
1195	5	1	49	47	0
1195	6	1	49	47	0
1249	0	1	35	35	1
1249	1	1	36	35	0
1249	2	1	36	35	0
1249	3	1	36	35	0
1249	4	1	37	35	0
1249	5	1	37	35	0
1249	6	1	37	35	0
1384	0	1	44	44	1
1384	1	1	44	44	0
1384	2	1	45	44	0
1384	3	1	45	44	0
1384	4	1	45	44	0
1384	5	1	46	44	0
1384	6	1	46	44	0
1405	0	1	50	50	1
1405	1	1	50	50	0
1405	2	1	50	50	0
1405	3	1	51	50	0
1405	4	1	51	50	0
1405	5	1	51	50	0
1405	6	1	52	50	0
1406	0	1	20	20	1
1406	1	1	20	20	0
1406	2	1	21	20	0
1406	3	1	21	20	0
1406	4	1	21	20	0
1406	5	1	22	20	0
1406	6	1	22	20	0
1484	0	1	50	50	1
1484	1	1	51	50	0
1484	2	1	51	50	0
1484	3	1	51	50	0
1484	4	1	52	50	0
1484	5	1	52	50	0
1484	6	1	52	50	0
1496	0	1	44	44	1
1496	1	1	45	44	0
1496	2	1	45	44	0
1496	3	1	45	44	0
1496	4	1	46	44	0
1496	5	1	46	44	0
1496	6	1	46	44	0
1526	0	1	45	45	1
1526	1	1	45	45	0
1526	2	1	45	45	0
1526	3	1	46	45	0
1526	4	1	46	45	0
1526	5	1	46	45	0
1526	6	1	47	45	0
1529	0	1	44	43	1
1529	1	1	43	43	0
1529	2	1	44	43	0
1529	3	1	45	43	0
1529	4	1	45	43	0
1529	5	1	45	43	0
1529	6	1	46	43	0
1540	0	1	35	35	1
1540	1	1	35	35	0
1540	2	1	36	35	0
1540	3	1	36	35	0
1540	4	1	36	35	0
